k	x	y	x2	y2	col
2714	25.7842	12.3640	26.0672904	12.009665	2714
2715	26.0673	12.0097	26.01794585	12.46050369	2715
2716	26.0179	12.4605	25.75866207	12.08841877	2716
2717	25.7587	12.0884	26.2102319	12.13018984	2717
2718	26.2102	12.1302	25.93910339	12.49369271	2718
2719	25.9391	12.4937	25.70852027	12.10322977	2719
2720	25.7085	12.1032	26.14317259	11.97403178	2720
2721	26.1432	11.9740	26.23161458	12.41875379	2721
2722	26.2316	12.4188	25.79291575	12.53333077	2722
2723	25.7929	12.5333	25.58907844	12.12833718	2723
2724	25.5891	12.1283	25.89549898	11.79418031	2724
2725	25.8955	11.7942	26.33709916	11.89678905	2725
2726	26.3371	11.8968	26.52890359	12.30756303	2726
2727	26.5289	12.3076	26.38734406	12.73822535	2727
2728	26.3873	12.7382	26.02644198	13.01253131	2728
2729	26.0264	13.0125	25.58196425	13.10151756	2729
2730	25.5820	13.1015	25.13112426	13.05453596	2730
2731	25.1311	13.0545	24.69245748	12.9404291	2731
2732	24.6925	12.9404	24.25380452	12.82633501	2732
2733	24.2538	12.8263	23.80301645	12.77933537	2733
2734	23.8030	12.7793	23.35857976	12.86810391	2734
2735	23.3586	12.8681	22.99738486	13.14183198	2735
2736	22.9974	13.1418	22.85452476	13.57190732	2736
2737	22.8545	13.5719	23.04384767	13.98363008	2737
2738	23.0438	13.9836	23.484214	14.09050051	2738
2739	23.4842	14.0905	23.79548727	13.76120162	2739
2740	23.7955	13.7612	23.60079328	13.35204629	2740
2741	23.6008	13.3520	23.15905656	13.45288038	2741
2742	23.1591	13.4529	23.22868053	13.90058159	2742
2743	23.2287	13.9006	23.66944145	13.7957068	2743
2744	23.6694	13.7957	23.46739104	13.39020763	2744
2745	23.4674	13.3902	23.16506965	13.72761062	2745
2746	23.1651	13.7276	23.60873246	13.81919316	2746
2747	23.6087	13.8192	23.40256101	13.41582924	2747
2748	23.4026	13.4158	23.28030057	13.85200188	2748
2749	23.2803	13.8520	23.6265986	13.56001397	2749
2750	23.6266	13.5600	23.18797948	13.67305209	2750
2751	23.1880	13.6731	23.64040348	13.69454527	2751
2752	23.6404	13.6945	23.19639566	13.60514966	2752
2753	23.1964	13.6051	23.64013234	13.69579943	2753
2754	23.6401	13.6958	23.18795934	13.67041616	2754
2755	23.1880	13.6704	23.62811304	13.56385837	2755
2756	23.6281	13.5639	23.27575341	13.84831865	2756
2757	23.2758	13.8483	23.41044788	13.41597909	2757
2758	23.4104	13.4160	23.6014452	13.82654608	2758
2759	23.6014	13.8265	23.16274087	13.71443511	2759
2760	23.1627	13.7144	23.48380183	13.39516192	2760
2761	23.4838	13.3952	23.65683166	13.81356525	2761
